"ID" "ageAtDeath" "maternalAge" "paternalAge" "mutProb" "na"
"127" ".0013224" 6 0 0 ".001" 7
"128" ".0013224" 4 1 1 ".001" 7
"129" ".0013224" 12 2 2 ".001" 7
"130" ".0013224" 0 3 3 ".001" 7
"131" ".0013224" 1 4 4 ".001" 7
"132" ".0013224" 1 5 5 ".001" 7
"133" ".0013224" 0 6 6 ".001" 7
"148" ".0013227" 0 0 0 ".001" 7
"149" ".0013227" 4 1 1 ".001" 7
"150" ".0013227" 5 2 2 ".001" 7
"151" ".0013227" 9 3 3 ".001" 7
"152" ".0013227" 2 4 4 ".001" 7
"153" ".0013227" 5 5 5 ".001" 7
"154" ".0013227" 5 6 6 ".001" 7
"197" ".0013234" 4 0 0 ".001" 7
"198" ".0013234" 11 1 1 ".001" 7
"199" ".0013234" 20 2 2 ".001" 7
"200" ".0013234" 18 3 3 ".001" 7
"201" ".0013234" 16 4 4 ".001" 7
"202" ".0013234" 1 5 5 ".001" 7
"203" ".0013234" 5 6 6 ".001" 7
"302" ".0013249" 13 0 0 ".001" 7
"303" ".0013249" 1 1 1 ".001" 7
"304" ".0013249" 4 2 2 ".001" 7
"305" ".0013249" 3 3 3 ".001" 7
"306" ".0013249" 4 4 4 ".001" 7
"307" ".0013249" 13 5 5 ".001" 7
"308" ".0013249" 25 6 6 ".001" 7
"358" ".0013257" 1 0 0 ".001" 7
"359" ".0013257" 7 1 1 ".001" 7
"360" ".0013257" 4 2 2 ".001" 7
"361" ".0013257" 7 3 3 ".001" 7
"362" ".0013257" 5 4 4 ".001" 7
"363" ".0013257" 3 5 5 ".001" 7
"364" ".0013257" 0 6 6 ".001" 7
"477" ".0013274" 4 0 0 ".001" 7
"478" ".0013274" 8 1 1 ".001" 7
"479" ".0013274" 8 2 2 ".001" 7
"480" ".0013274" 0 3 3 ".001" 7
"481" ".0013274" 1 4 4 ".001" 7
"482" ".0013274" 0 5 5 ".001" 7
"483" ".0013274" 2 6 6 ".001" 7
"484" ".0013275" 4 0 0 ".001" 7
"485" ".0013275" 12 1 1 ".001" 7
"486" ".0013275" 0 2 2 ".001" 7
"487" ".0013275" 5 3 3 ".001" 7
"488" ".0013275" 3 4 4 ".001" 7
