"maternalAge" "scenario" "rep1" "rep10" "rep2" "rep3" "rep4" "rep5" "rep6" "rep7" "rep8" "rep9" "mean" "min" "max"
"1" 0 "damage" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"2" 1 "damage" 4279 4272 4260 4333 4290 4311 4283 4333 4310 4319 4299 4260 4333
"3" 2 "damage" 3694 3684 3680 3736 3690 3744 3717 3744 3749 3729 3716.7 3680 3749
"4" 3 "damage" 3215 3208 3208 3254 3206 3255 3281 3289 3273 3216 3240.5 3206 3289
"5" 4 "damage" 2790 2770 2792 2856 2787 2847 2875 2864 2880 2815 2827.6 2770 2880
"6" 5 "damage" 2437 2459 2452 2503 2471 2477 2521 2518 2498 2462 2479.8 2437 2521
"7" 6 "damage" 2164 2163 2177 2206 2168 2207 2233 2258 2238 2199 2201.3 2163 2258
"8" 7 "damage" 1919 1940 1942 1973 1937 1991 1975 2002 2007 1974 1966 1919 2007
"9" 8 "damage" 1741 1743 1722 1768 1754 1780 1775 1791 1814 1794 1768.2 1722 1814
"10" 9 "damage" 1571 1535 1553 1572 1579 1594 1576 1622 1638 1615 1585.5 1535 1638
"11" 10 "damage" 1410 1395 1414 1415 1424 1453 1401 1452 1454 1470 1428.8 1395 1470
"12" 11 "damage" 1283 1262 1299 1291 1282 1312 1270 1326 1314 1346 1298.5 1262 1346
"13" 12 "damage" 1159 1145 1178 1154 1167 1185 1162 1191 1182 1229 1175.2 1145 1229
"14" 13 "damage" 1070 1057 1079 1051 1077 1070 1061 1072 1090 1133 1076 1051 1133
"15" 14 "damage" 1004 980 998 973 1005 974 990 982 1003 1031 994 973 1031
"16" 15 "damage" 927 900 910 887 926 899 928 908 915 957 915.7 887 957
"17" 16 "damage" 861 833 841 813 878 831 864 860 853 883 851.7 813 883
"18" 17 "damage" 792 775 792 749 819 770 797 806 796 827 792.3 749 827
"19" 18 "damage" 732 729 740 714 760 717 751 756 738 776 741.3 714 776
"20" 19 "damage" 668 681 687 663 708 676 695 703 699 722 690.2 663 722
"21" 20 "damage" 623 647 651 627 663 627 660 664 654 676 649.2 623 676
"22" 21 "damage" 575 608 608 596 626 600 618 630 621 629 611.1 575 630
"23" 22 "damage" 549 574 581 568 600 571 582 598 586 592 580.1 549 600
"24" 23 "damage" 524 535 549 547 568 540 558 562 548 560 549.1 524 568
"25" 24 "damage" 499 509 516 512 545 513 521 528 523 526 519.2 499 545
"26" 25 "damage" 478 484 489 488 522 487 507 503 495 502 495.5 478 522
"27" 26 "damage" 458 463 469 475 498 470 482 480 477 483 475.5 458 498
"28" 27 "damage" 438 443 452 448 486 450 465 464 458 455 455.9 438 486
"29" 28 "damage" 418 434 432 429 460 429 448 439 430 427 434.6 418 460
"30" 29 "damage" 404 411 414 415 449 415 427 417 413 412 417.7 404 449
"31" 30 "damage" 392 398 402 402 430 403 409 403 386 392 401.7 386 430
"32" 31 "damage" 381 386 389 390 413 390 392 391 372 375 387.9 372 413
"33" 32 "damage" 364 370 368 381 394 382 378 379 361 361 373.8 361 394
"34" 33 "damage" 347 365 356 369 382 372 365 366 351 348 362.1 347 382
"35" 34 "damage" 338 351 338 359 370 368 354 354 340 337 350.9 337 370
"36" 35 "damage" 327 337 322 348 356 359 342 346 328 328 339.3 322 359
